strike,moneyness,market,bsm,cev,heston,pinn_bsm,pinn_heston,err_bsm,err_cev,err_heston,err_pinn_bsm,err_pinn_hes
677.0,0.9152,93.5,89.416,85.9309,85.9311,91.9532,70.5496,-4.084,-7.5691,-7.5689,-1.5468,-22.9504
678.0,0.9165,90.87,88.6331,85.0998,85.1,91.1739,69.5611,-2.2369,-5.7702,-5.77,0.3039,-21.3089
679.0,0.9179,79.66,87.8532,84.2719,84.272,90.3979,68.5726,8.1932,4.6119,4.612,10.7379,-11.0874
680.0,0.9192,92.69,87.0766,83.4472,83.4473,89.625,67.5841,-5.6134,-9.2428,-9.2427,-3.065,-25.1059
681.0,0.9206,90.0,86.3033,82.6257,82.6258,88.8554,66.5957,-3.6967,-7.3743,-7.3742,-1.1446,-23.4043
682.0,0.9219,78.0,85.5332,81.8075,81.8077,88.089,65.6072,7.5332,3.8075,3.8077,10.089,-12.3928
683.0,0.9233,75.51,84.7663,80.9927,80.9928,87.326,64.6187,9.2563,5.4827,5.4828,11.816,-10.8913
684.0,0.9246,75.56,84.0028,80.1813,80.1814,86.5662,63.6303,8.4428,4.6213,4.6214,11.0062,-11.9297
685.0,0.926,84.98,83.2426,79.3732,79.3733,85.8097,62.6418,-1.7374,-5.6068,-5.6067,0.8297,-22.3382
686.0,0.9273,73.0,82.4858,78.5687,78.5688,85.0567,61.6533,9.4858,5.5687,5.5688,12.0567,-11.3467
687.0,0.9287,74.75,81.7324,77.7676,77.7677,84.307,60.6648,6.9824,3.0176,3.0177,9.557,-14.0852
688.0,0.93,66.71,80.9824,76.9701,76.9702,83.5607,59.6763,14.2724,10.2601,10.2602,16.8507,-7.0337
689.0,0.9314,64.5,80.2358,76.1762,76.1763,82.818,58.6879,15.7358,11.6762,11.6763,18.318,-5.8121
690.0,0.9327,83.02,79.4927,75.3859,75.386,82.0785,57.6993,-3.5273,-7.6341,-7.634,-0.9415,-25.3207
691.0,0.9341,54.87,78.753,74.5993,74.5994,81.3427,56.7109,23.883,19.7293,19.7294,26.4727,1.8409
692.0,0.9355,82.68,78.0169,73.8164,73.8165,80.6104,55.7224,-4.6631,-8.8636,-8.8635,-2.0696,-26.9576
693.0,0.9368,63.6,77.2843,73.0372,73.0373,79.8815,54.7339,13.6843,9.4372,9.4373,16.2815,-8.8661
694.0,0.9382,60.92,76.5553,72.2618,72.2619,79.1562,53.7455,15.6353,11.3418,11.3419,18.2362,-7.1745
695.0,0.9395,79.98,75.8298,71.4903,71.4903,78.4344,52.757,-4.1502,-8.4897,-8.4897,-1.5456,-27.223
696.0,0.9409,76.52,75.108,70.7226,70.7226,77.7164,51.7685,-1.412,-5.7974,-5.7974,1.1964,-24.7515
697.0,0.9422,75.96,74.3897,69.9588,69.9588,77.0019,50.78,-1.5703,-6.0012,-6.0012,1.0419,-25.18
698.0,0.9436,76.71,73.6751,69.1989,69.1989,76.2909,49.7915,-3.0349,-7.5111,-7.5111,-0.4191,-26.9185
699.0,0.9449,74.1,72.9642,68.443,68.443,75.5838,48.8031,-1.1358,-5.657,-5.657,1.4838,-25.2969
700.0,0.9463,78.21,72.257,67.6911,67.6911,74.8804,47.8146,-5.953,-10.5189,-10.5189,-3.3296,-30.3954
701.0,0.9476,74.77,71.5534,66.9432,66.9433,74.1805,46.8261,-3.2166,-7.8268,-7.8267,-0.5895,-27.9439
702.0,0.949,53.28,70.8536,66.1995,66.1995,73.4845,45.8376,17.5736,12.9195,12.9195,20.2045,-7.4424
703.0,0.9503,73.91,70.1575,65.4598,65.4598,72.7921,44.8491,-3.7525,-8.4502,-8.4502,-1.1179,-29.0609
704.0,0.9517,71.07,69.4652,64.7243,64.7243,72.1036,43.8606,-1.6048,-6.3457,-6.3457,1.0336,-27.2094
705.0,0.953,71.69,68.7767,63.993,63.993,71.4188,42.8722,-2.9133,-7.697,-7.697,-0.2712,-28.8178
