strike,moneyness,market,bsm,cev,heston,pinn_bsm,pinn_heston,err_bsm,err_cev,err_heston,err_pinn_bsm,err_pinn_hes
679.0,0.9179,62.51,65.2968,65.1585,65.161,68.7149,54.861,2.7868,2.6485,2.651,6.2049,-7.649
680.0,0.9192,63.3,64.344,64.1981,64.2008,67.7672,53.8523,1.044,0.8981,0.9008,4.4672,-9.4477
681.0,0.9206,63.98,63.3939,63.2401,63.2428,66.8221,52.8437,-0.5861,-0.7399,-0.7372,2.8421,-11.1363
682.0,0.9219,61.52,62.4464,62.2844,62.2873,65.8797,51.835,0.9264,0.7644,0.7673,4.3597,-9.685
683.0,0.9233,56.9,61.5018,61.3314,61.3343,64.9401,50.8263,4.6018,4.4314,4.4343,8.0401,-6.0737
684.0,0.9246,55.99,60.5602,60.381,60.384,64.0035,49.8177,4.5702,4.391,4.394,8.0135,-6.1723
685.0,0.926,60.62,59.6216,59.4334,59.4365,63.0699,48.8089,-0.9984,-1.1866,-1.1835,2.4499,-11.8111
686.0,0.9273,58.19,58.6863,58.4888,58.492,62.1397,47.8003,0.4963,0.2988,0.302,3.9497,-10.3897
687.0,0.9287,55.38,57.7544,57.5472,57.5506,61.2129,46.7916,2.3744,2.1672,2.1706,5.8329,-8.5884
688.0,0.93,56.48,56.826,56.609,56.6125,60.2894,45.7829,0.346,0.129,0.1325,3.8094,-10.6971
689.0,0.9314,43.34,55.9012,55.6741,55.6777,59.3697,44.7743,12.5612,12.3341,12.3377,16.0297,1.4343
690.0,0.9327,56.0,54.9803,54.7428,54.7465,58.4538,43.7656,-1.0197,-1.2572,-1.2535,2.4538,-12.2344
691.0,0.9341,54.44,54.0633,53.8153,53.819,57.5419,42.757,-0.3767,-0.6247,-0.621,3.1019,-11.683
692.0,0.9355,48.8,53.1505,52.8916,52.8954,56.6341,41.7483,4.3505,4.0916,4.0954,7.8341,-7.0517
693.0,0.9368,54.27,52.2419,51.9719,51.9758,55.7306,40.7396,-2.0281,-2.2981,-2.2942,1.4606,-13.5304
694.0,0.9382,51.3,51.3378,51.0565,51.0605,54.8315,39.731,0.0378,-0.2435,-0.2395,3.5315,-11.569
695.0,0.9395,50.07,50.4383,50.1454,50.1495,53.937,38.7223,0.3683,0.0754,0.0795,3.867,-11.3477
